description,max_salary
"Recruitment & Talent Acquisition Coordinator
We are recruiting for a Recruitment Coordinator to join our client's Talent team. This role will engage directly with recruiters, candidates, hiring managers, and interviewers in coordinating and scheduling all phases of the recruitment process. 
In this role, you will organize recruiting events, activities, and be expected to be heavily involved in coordinating the company's internship programs. Ideal candidates are versatile, have excellent communication skills, a strong work ethic and a positive attitude. 
Job Responsibilities:Support all aspects of the campus talent acquisition program Post job descriptions on campus career websites and diversity partnerships job boards Help in organizing, executing, and staffing campus recruitment events (including on-campus, virtual, and in-office engagements), effectively represent the company at these local eventsPlan & execute on campus events including material preparation, catering, facilities, advertising and moreExecution of intern program, including training, performance management, networking sessions, manager and mentor engagement.Track, prepare and process candidate administrative needs.Enter and maintain data integrity in all applicable databases and excel trackers with uncompromising attention to detail.
Qualifications:4-year college degree or equivalent knowledge & experience preferred.Strong interpersonal skills and ability to articulate ideas.Ability to clearly communicate with colleagues, candidates, and external partners.Superb organizational skills and attention to detail.Demonstration of a high level of integrity and professionalism.",60000
"Overview

Baker Tilly US, LLP (Baker Tilly) is a leading advisory CPA firm, providing clients with a genuine coast-to-coast and global advantage in major regions of the U.S. and in many of the world’s leading financial centers - New York, London, San Francisco, Los Angeles and Chicago. Baker Tilly is an independent member of Baker Tilly International, a worldwide network of independent accounting and business advisory firms in 145 territories, with 41,000 professionals and a combined worldwide revenue of $4.7 billion.

 

Please discuss the work location status with your Baker Tilly talent acquisition professional to understand the requirements for an opportunity you are exploring.

Baker Tilly is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or protected veteran status, gender identity, sexual orientation, or any other legally protected basis, in accordance with applicable federal, state or local law.

Any unsolicited resumes submitted through our website or to Baker Tilly US, LLP, employee e-mail accounts are considered property of Baker Tilly US, LLP, and are not subject to payment of agency fees. In order to be an authorized recruitment agency (""search firm"") for Baker Tilly US, LLP, there must be a formal written agreement in place and the agency must be invited, by Baker Tilly's Talent Attraction team, to submit candidates for review via our applicant tracking system.

Responsibilities

Are you interested in joining one of the fastest growing public accounting firms?

Would you like the ability to focus on one industry sector and further become an expert for your clients?

If yes, consider joining Baker Tilly (BT) as an Audit Manager for our Asset Management team! This is a great opportunity to be a valued business advisor delivering industry-focused audit and other assurance services to middle market clients. You will work side-by-side with firm leadership to serve clients and build the business, having a direct impact on the firm’s success. Additionally, you will be a mentor and coach to a group of talented staff, utilizing your expertise to help develop their technical and professional skills. If you are invigorated by these exciting challenges, then this could be the right opportunity for you! As one of the fastest growing firms in the nation, BT has the ability to offer you upward career trajectory, flexibility in how and where you get your work done and meaningful relationships with clients, teammates and leadership who truly care about you and your development.

You Will Enjoy This Role If

You are looking for an opportunity to build your career in a specific industry, becoming an industry expert to the clients you serveYou can see yourself as a trusted business advisor, working face-to-face with clients to find creative solutions to complex accounting and business challengesYou want to work for a leading CPA advisory firm that serves middle market clients and whose owners have both their clients’ and employees’ best interests in mind and are transparent in their decisions You value your development and want to work for a firm that provides you the autonomy to own your schedule and career through structured programs (ask us about My Time Off, My Development and Dress for Your Day!)You want to contribute to your engagement team’s professional growth and develop your own leadership skills to build a career with endless opportunities now, for tomorrow

What You Will Do

Be a trusted member of the engagement team providing various assurance and consulting services to industry specific clients, positively impacting their financial statements, profitability, and business operations through:Proactively engaging with your clients throughout the year to understand business goals and challengesImplementing appropriate testing to assess deficiencies of internal controls and make recommendations for improvementManaging all fieldwork to ensure quality service and timely delivery of resultsPlaying an active role in providing valuable financial statement guidance and business recommendations based upon various testing performed and information gatheredDelivering business insight through thoughtful review, analysis, and discussionAssist with managing client engagement staffing, billings/collections, and ensure client profitability targets are metUtilize your entrepreneurial skills to network and build strong relationships internally and externally with clients and the communityInvest in your professional development individually and through participation in firm wide learning and development programsSupport the growth and development of team members through the Baker Tilly Care and Teach philosophy, helping associates meet their professional goals
Qualifications

Bachelor's degree in accounting required, Masters or advanced degree desiredCPA requiredFive (5)+ years’ experience providing financial statement auditing services in a professional services firm desiredTwo (2)+ years’ of supervisory experience, mentoring and counseling associates desiredDemonstrated management, analytical, organization, interpersonal, project management, communication skillsAbility to lead and supervise others, provide exceptional client service, demonstrate commitment to continuous learning in order to stay current regarding applicable strategies, see the ""big picture"" as well as the details, display appropriate ethical knowledge and commitment, and exhibit a sense of urgency and commitment to quality and the timely completion of projects.Highly developed software and Microsoft Suite skillsEligibility to work in the U.S. without sponsorship preferred

Additional Information

For California, Colorado, New York and Washington, the compensation range for this role is $86,220 to $182,770. Actual compensation is influenced by a variety of factors including but not limited to skills, experience, qualifications, and geographic location.",182770
"Order.co is on a mission to simplify buying for businesses. We believe that it’s not just about what you buy, but how you buy it and how you pay for it . Today’s purchase to pay process is riddled with complexity and missed opportunities for leverage. Our goal is to highlight that leverage through the use of our platform.

Order.co is a procurement and spend management software that eliminates manual purchasing and payment tasks and gives your team one place to purchase, approve, track and pay for all the physical goods your business needs. With customizable budgets and reporting, operations and finance teams can take back control over the buying process and start saving time, saving money, and gaining clarity into how they buy.

Founded in 2016 and headquartered in New York City, Order.co oversees nearly half a billion dollars in annualized spend across hundreds of customers like WeWork, SoulCycle, and Lume. Order has raised $50M in funding from industry-leading investors like MIT, Stage 2 Capital, Rally Ventures, 645 Ventures, and more. Order.co has been proudly named as a Top 50 Companies to Watch by Spend Matters and a Best Place to Work by BuiltIn.

Job Description

What does this role look like?Driving key AE outcomes, including quota attainment (on target or above) by identifying pain points and tying them back to our offering in this highly consultative but shorter deal cycle (45-60 days)Building a new business pipeline by working demand from your own personalized prospecting efforts, Marketing and SDRs through the typical methods (cold calls, emails, and social) to target prospects within our ideal customer profile. Your own prospecting efforts are crucial to being successful in this role.Use your curiosity and critical thinking skills to become an expert on our product, the problem we solve, and the personas we targetEnjoying a sale that focuses on either a process change or a platform change, depending on the prospect. Our most successful Account Executives are educational and able to challenge prospects about what they are doing today vs what they could be doing with Order.co. The goal is to quickly become a trusted advisor and leverage it appropriately.

Qualifications

NY-based candidates are strongly preferred2+ years of experience in a closing role, managing your own pipeline in a startup environment using systems like Outreach, Gong and Salesforce.Nice to have: Experience working in the P2P or Fintech spaceExperience with prospecting and closing new business (this role is supported by SDRs and Marketing, but the hustle will be what makes you successful!)You believe in over achievement as the minimum - 100% is doing your job, 110%+ is where the real fun startsStrong written and verbal communication skills to drive deals forwardProven track record of exceeding goals and building pipelineTeam player that can work independently as well. We are a small AE team that works well together and values each other’s ideas. We regularly support one another to ensure the success of the team and our customers.

Additional Information

What You’ll ReceiveA competitive compensation package including base and uncapped variable components as well as stock optionsThe opportunity to grow quickly within the Sales organizationThe industry’s top sales tools such as Salesforce, Outreach, Gong.io, ZoomInfo, LinkedIn, and more!Employer-sponsored 401(k) plus employer matchA deep knowledge and understanding of selling a SaaS B2B product in the purchasing and payment spaceThe opportunity to grow and perform in a fast-paced environment alongside a stellar teamFlexible time off and remote work policiesRobust medical, dental, vision, and wellness benefitsGenerous leave policies and support for new and current parentsThe anticipated compensation for this role is $160,000-$180,000 OTE. Actual compensation and title will be commensurate with experience, qualifications, knowledge, and skills.Order.co is an equal opportunity employer. Applicant's qualifications are considered without regard to race, color, religion, sex (including pregnancy, gender identity, and sexual orientation), national origin, age, disability, veteran status, genetic information, or any other basis prohibited by law.







#BI-Remote

.",180000
"Summary Of Position

Manage portfolio of developed and scheduled reports for Claims, FRU, G&A, Provider and UM Data.Interface with internal operations / external departmental customers to define requirements of analyses and reports.Transform requirements into actionable, high-quality deliverables.Perform periodic and ad-hoc operations data analysis to measure performance and conduct root cause analysis for Claims, FRU, G&A, Provider and UM data.Compile, analyze and provide reporting that identifies and defines actionable information or recommends possible solutions for corrective actions.Partner with other Operations areas as needed to provide technical and other support in the development, delivery, maintenance, and enhancement of analytical reports and analyses.Collaborate with Operations Tower Leaders in identifying and recommending operational performance metrics; map metrics against targets and the company’s operational plans and tactical/strategic goals to ensure alignment and focus.Serve as a liaison with peers in other departments to ensure data integrity.Code and schedule reports using customer business requirements from Claims, FRU, G&A, Provider and UM data.

Principal Accountabilities

Conduct operational data analyses to identify root causes; develop actionable information (recommendations, conclusions, and possible solutions); produce reports to evaluate operational efficiencies and effectiveness.Prepare dashboards and other management reports, soliciting information from business teams and serve as liaison for their submissions; ensure quality control; provide oversight to staff when necessary.Identify and collect internal historical data; research and collect external benchmark data; devise more efficient and accurate approaches to vet and prepare metric reports; use sound reasoning and judgment for identifying and applying appropriate analytical approach.Recommend and implement accuracy, efficiency, and productivity enhancements.Maintain documentation library to promote efficient knowledge transfer of data collection strategies and data quality protocols.Work with other areas as needed to ensure recommended solutions meet business requirements.Manage multiple, simultaneous team-based projects along with other individually assigned projects.Provide support in developing & expanding the scope of dashboards and other management reports for distribution to middle and upper management; organize and maintain report methodology documentation.Communicate and collaborate with internal and external stakeholders as needed to support overall EmblemHealth objectives.Perform other related tasks/projects as directed or required.

Education, Training, Licenses, Certifications

Bachelor’s Degree in Business, Data Management, or other related quantitative analysis field of study required

Relevant Work Experience, Knowledge, Skills, And Abilities

4 – 6+ years of relevant work experience including Data Analysis and reporting requiredBusiness Intelligence Experience – Cognos or Tableau; proficiency with SAS requiredProject management experience preferredProficient with MS Office (Word, Excel, Access, PowerPoint, Outlook, Teams, etc.) requiredExperience working with large volumes of data requiredEnergy, drive and passion for End-to-End excellence and customer experience improvement requiredExcellent collaborative skills and the ability to influence management decisions requiredStrong problem solving and analytical skills that be applied across all types of business problems requiredStrong communication skills (verbal, written, presentation, interpersonal, facilitation) with all audiences required

Additional Information

Requisition ID: 1000001321Hiring Range: $63,000-$110,000",110000
"Position Overview

Job Title Business Intelligence Unit

Corporate Title Assistant Vice President

Location New York, NY

Overview

Deutsche Bank benefits from having a highly experienced and dedicated Anti Financial Crime (AFC) function, which performs a crucial role in keeping Deutsche Bank’s business operations and global financial services clean from financial crime while serving the interests of the Bank and society. Our regional/global matrix structure allows for flexible responses to challenges in the core areas of: Anti-Money Laundering, Sanctions & Embargoes, Anti-Fraud, Bribery & Corruption, Investigations & Intelligence, Monitoring & Screening, and Risk Assessment.

Our AFC Team will provide you with opportunities to learn, grow and define your career. We foster an open, diverse, and inclusive team culture, that is engaged and well-supported for prosperity and enjoyment of a life/work balance.

What We Offer You

A diverse and inclusive environment that embraces change, innovation, and collaborationA hybrid working model, allowing for in-office / work from home flexibility, generous vacation, personal and volunteer daysEmployee Resource Groups support an inclusive workplace for everyone and promote community engagementCompetitive compensation packages including health and wellbeing benefits, retirement savings plans, parental leave, and family building benefitsEducational resources, matching gift, and volunteer programs


What You’ll Do

Support Regional Head of Business Intelligence Unit Americas by providing timely and accurate reporting and advice, including Enhanced Due Diligence (EDD), specific sectoral reviews and ad hoc macro-economic trend analysisAct as key point of accountability for research into reputational risk, including criminal, political and security risks, associated with the Bank's dealings in Americas regionIdentify, establish, and maintain a database of accessible and reliable Business Intelligence resourcesProvide administrative and linguistic support to Regional Head of BIU Discharge all associated administrative Business Intelligence functionsProduce demonstrably well-researched reports, including clear indications of sources used by means of detailed attribution. Provide comprehensive review of local language sources by continual assessment, evaluation of new sourcesAct, where appropriate, as a point of contact and Subject Matter Expert to Anti-Money Laundering compliance and the Business on high-risk sensitive clients, assisting in the provision of periodic Management Information as required for Americas region


Skills You’ll Need

Strong regional expertise and focus, preferably with professional experience in relevant regions (Americas) together with language skills (Fluency in Spanish and/or Portuguese essential)Familiar with a wide range of external data sources and third-party systems to be covered as a part of the due diligence processA sound understanding of key regional political and socio-economic issues. Relevant regional expertise within Latin AmericaExperience in a business intelligence consultancy or in a similar role within another financial institutionExcellent analytical skills including the ability to analyse information contained within public sources


Skills That Will Help You Excel

Have significant report writing experience with the ability to make complex arguments in an understandable and clear way. Ability to present and defend findings of research verbally to multiple stakeholdersShould possess effective organizational and communication skills (both oral and written)Robust, credible, and organizationally/politically savvy, with an ability to grasp complex issues quicklyRecognizing the need to drive long-term success of the service the person will need to possess a ‘can do attitude’ and exemplary communication skillsAble to work independently and interact with Senior Management


Expectations

It is the Bank’s expectation that employees hired into this role will work in the New York office in accordance with the Bank’s hybrid working model.

Deutsche Bank provides reasonable accommodations to candidates and employees with a substantiated need based on disability and/or religion.

The salary range for this position in New York City is $100,000 to $142,250. Actual salaries may be based on a number of factors including, but not limited to, a candidate’s skill set, experience, education, work location and other qualifications. Posted salary ranges do not include incentive compensation or any other type of remuneration.

Deutsche Bank Values & Diversity

We believe talent is found in all cultures, countries, races, ethnicities, genders, sexual orientations, disabilities, beliefs, generations, backgrounds, and experiences. We pursue a working environment where everyone can be authentic and feel a sense of belonging. Click here to find out more about our diversity and inclusion efforts.

We are an Equal Opportunity Employer - Veterans/Disabled and other protected categories.

Click these links to view the following notices: EEO is the Law poster and supplement ; Employee Rights and Responsibilities under the Family and Medical Leave Act ; Employee Polygraph Protection Act and Pay Transparency Nondiscrimination Provision

Learn more about your life at Deutsche Bank through the eyes of our current employees: https://careers.db.com/life

The California Consumer Privacy Act outlines how companies can use personal information. If you are interested in receiving a copy of Deutsche Bank’s California Privacy Notice, please email HR.Direct@DB.com .

Deutsche Bank Benefits

At Deutsche Bank, we recognize that our benefit programs have a profound impact on our colleagues. That’s why we are focused on providing benefits and perks that enable our colleagues to live authentically and be their whole selves, at every stage of life. We provide access to physical, emotional, and financial wellness benefits that allow our colleagues to stay financially secure and strike balance between work and home. Click here to learn more!

Our values define the working environment we strive to create – diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.

We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.

Visit Inside Deutsche Bank to discover more about the culture of Deutsche Bank including Diversity, Equity & Inclusion, Leadership, Learning, Future of Work and more besides.

We are an Equal Opportunity Employer - Veterans/Disabled and other protected categories. Click these links to view the following notices: ""EEO is the Law poster"" and supplement ; Employee Rights and Responsibilities under the Family and Medical Leave Act ; Employee Polygraph Protection Act and Pay Transparency Nondiscrimination Provision .

",142250
"Overview

The Company:

Hearts & Science has been inspired by confident marketers seeking business advantage in a world of personalized digital marketing, where CRM and addressable channels converge, and decisions must be made in real time to aggregate effective reach and deliver the right message at the right time.

Designed to inform brand strategies with real-time insights, Hearts & Science is a data-driven marketing agency with expert media planning and buying capabilities, among other services that include shopper marketing, marketing innovation and content activation.

Senior Associate, Digital 

As a Senior Associate you will play a key role as a day-to-day support for development and execution of digital media plans. Ensuring that pacing, performance and the Digital Activation Process is activated correctly across the area of responsibility is the primary focus of this job. To be successful in this role, be ready to “roll up your sleeves” to get the job done. Our ideal candidate has experience working across several media channels and a curiosity in emerging media platforms.

Qualifications

1+ years of experience and expert knowledge of digital buying, hands-on experience using demand-side platforms a plus (The Trade Desk, DV360 or similar)Experience working with large data sets and understanding of methodologies for evaluating data Ability to self-manage, juggle multiple priorities, and pay strong attention to details Excellent written and verbal communication skills Proven ability to work with and influence cross-functional teams Strong Microsoft Excel skills and ability to coach others on shortcutsWorking knowledge of third-party verification tools including DoubleVerify Hands-on experience with campaign workflow tools including Prisma 


Responsibilities

Ensuring the implementation of the Digital Activation Process across programmatic buying Building campaigns and deploy best practices across the campaigns Participating in daily and weekly client communications Working side-by-side with broader Activation team to ensure tight coordination of campaign setup, adjustments and performance is efficient and effective Working with Strategy team to understand goals, address client needs, and communicate results and insights back to clients Owning the campaign creation process Implementing Business Intelligence tools and new capabilities (e.g., new supply & data sources, new media measurement techniques, etc.)


Compensation Range: $40,000 - $65,000. This is the pay range the Company believes it will pay for this position at the time of this posting. Consistent with applicable law, compensation will be determined based on relevant experience, other job-related qualifications/skills, and geographic location (to account for comparative cost of living). The Company reserves the right to modify this pay range at any time. For this role, Benefits include: health/vision/dental insurance, 401(k), Healthcare Flexible Spending Account, Dependence Care Flexible Spending Account, vacation, sick, personal days, paid parental leave, and paid medical leave, STD/LTD insurance benefits.

Hearts & Science is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class.",65000
"About Us

KnitWell Group, a specialty retail operating company, comprises some of the most iconic brands in America – Ann Taylor, LOFT, Lane Bryant, and Talbots. Individually, our brands are unique and strong. Together, we are powerful.

Our common thread is our commitment to create exceptional products, provide memorable experiences, and achieve superior results. Our associates are innovators who thrive through collaboration and are dedicated to excellence. At the heart of it all are the customers we serve. We are dedicated to creating fashion that not only looks good but also makes our customers feel good.

Merchandise Planner (dresses/skirts)

About The Role

The Merchandise Planner builds financial sales, gross margin and inventory plans for multiple departments in a given area. Manages and plans merchandise inventory positions and markdown strategies to drive departmental sales, inventory, profit and turnover objectives. Provides in-season financial projections and strategies. Identifies risks and opportunities to maximize profits. Drives and/or contributes to projects resulting in improved departmental systems and efficiencies.

The impact you can have

 Build financial sales, gross margin and inventory plans at a weekly level on a seasonal basisReforecast business in-season based on current performance, present revised projections and recommendations to cross functional partners and senior leadershipDevelop, consolidate and communicate a comprehensive pre-season planning strategy that identifies opportunities and risks in all areas of responsibilityAnalyze:Promotional effectiveness and make future recommendationsPerformance in season and make markdown or chase recommendationsIdentify and communicate potential inventory liabilities and drive appropriate actions to resolutionPartner with cross-functional teams to communicate division level financial merchandising plans and merchandise strategies to support the financial objectivesParticipate in:All aspects of line building process with Merchandising Lead or participate in department projects to improve systems or efficienciesDevelopment of processes that build efficiencies and streamline work streams
You’ll bring to the role

 BA or equivalent, and 3-5 years of retail buying, planning or financial analysis experienceResults driven; strategic, conceptual and innovative thinkerExpert command of retail math concepts, applications and statistical analysisDetail-oriented, with excellent follow-through skillsStrong analytical, verbal and written communication skillsAbility to work productively in a team environmentProficient in Microsoft Office applications – expert level in Excel

Benefits

Merchandise discount at our brands: 50% off regular-priced merchandise at Ann Taylor, LOFT, & Lane Bryant (in store and online) Support for your individual development plus career mobility within our family of brands A culture of giving back – local volunteer opportunities, annual donation and volunteer match to eligible nonprofit organizations, and philanthropic activities to support our communities* Medical, dental, vision insurance & 401(K)* Employee Assistance Program (EAP)Time off – paid time off & holidays*The target salary range for this role is: $85,000 – 95,000Any job offer will consider factors such your qualifications, relevant experience, and skills. Eligibility of certain benefits and associate programs are subject to employment type and role.

Applicants to this position must be authorized to work for any employer in the US without sponsorship. We are not providing sponsorship for this position.

This position works in a hybrid model, with three days per week worked in the Times Square Tower office location and two days per week worked remotely.

Location:

Times Square Tower-ANN-New York, NY 10036

Position Type

Regular/Full time

Equal Employment Opportunity

The Company is committed to hiring and developing the most qualified people at all levels. It is our policy in all personnel actions to ensure that all associates and potential associates are evaluated on the basis of qualifications and ability without regard to sex (including pregnancy), race, color, national origin, religion, age, disability that can reasonably be accommodated without undue hardship, genetic information, military status, sexual orientation, gender identity, or any other protected classification under federal, state, or local law. We do not discriminate in any of our employment policies and practices. All associates are expected to follow these principles in all relationships with other associates, applicants, or others with whom we do business.

",95000
"Customer Success Managers (CSMs) connect our most strategic clients to LSEG’s portfolio of software & desktop solutions. This specialist plays a key role in ensuring our customers discover the full power of LSEG by implementing workflow solutions while continuously providing scalable yet adaptable guidance.

The Specialist will own a portfolio (Workspace) across a number of Investment Banking (Capital Markets, Advisory & Sell Side Research, etc.) accounts. In a role that is comprised of relationship management, education and deep functional expertise, CSMs will manage successful adoption and expansion of our services within assigned accounts. Equal parts trusted advisor and roadmap architect, the CSM designs and implements activities with key decision makers, assists in reducing risk of competition and finds opportunities in accounts. By redesigning our client’s business through user adoption of our suite of solutions, the CSM crafts the conditions for optimal renewal and upsell growth.

Role Responsibilities

 Clearly define business outcomes and create a comprehensive success plan to include customer objectives, partners, achievements, risks and metrics needed to achieve them. Demonstrate and educate new customers on content and technology in a manner that is tailored to their specific use-case. Monitor usage data, health gauges and growth opportunities in order to build relevant insights and strategically pivot when necessary. Prompt Refinitiv business development partners (Solution sales, proposition sales, solution consultant) when new business opportunities (upsell or cross-sell) are generated through adoption engagements. Ensure customers derive maximum value from their investment, utilize all licenses and collaborate with other Refinitiv partner teams to ensure retention and growth. Build, maintain and demonstrate positive relationships with business decision makers and users within each account to influence adoption

Your Success: A CSMs success will be measured by:

 Breadth & depth of customer relationships Issue and risk mitigation management Contributions to role and process improvement Portfolio attrition Adoption

What You Bring

Industry Knowledge: Familiarity with the Investment Banking sector

Customer-Centric Approach: Your ability to understand a customer’s unique business processes and map them to our product capabilities is essential. We value empathy and adaptability in our team members.

Collaboration: You’ll work closely with internal operational and account management teams. We appreciate team players who thrive in a collaborative environment.

Effective Communication: Experience facilitating customer meetings and addressing all levels of audiences. We encourage concise, inspirational, and convincing communication.

Project Management and Problem-Solving: Strong project management skills are crucial. We value creative problem solvers who can navigate complex challenges.

Self-Starter Mentality: We appreciate proactive individuals who take initiative and drive results independently.

Desire to Learn: Curiosity and a growth mindset are highly valued. We believe in continuous learning and development.

Flexibility: The role may require occasional travel to client sites.

Why Join Us?

Inclusive Culture: We celebrate diversity and believe that diverse perspectives lead to better solutions.Learning Opportunities: We offer formal training, and encourage skill development.Impactful Work: Be part of a team that directly impacts our clients’ success.Career Growth: We invest in our employees’ growth and provide opportunities for advancement.

If you’re passionate about making a difference and want to contribute to our exciting journey, we’d love to hear from you!

Compensation/Benefits Information (New York Applicants Only)

LSEG is committed to offering competitive Compensation and Benefits. The anticipated base salary for this position is $74,600 - $138,800.

Please be aware base salary ranges may vary by geographic location, city and state. In addition to our offered base salary, this role is eligible for our Variable Incentive Compensation plan. Target variable compensation will be commensurate with the posted career stage. Individual salary will be reflective of job related knowledge, skills and equivalent experience. LSEG roles (excluding internships and part-time roles of less than 20 hours per week) are typically eligible for inclusion in our LSEG Benefits program, which includes offerings of: Annual Wellness Allowance, Paid time-off, Medical, Dental, Vision, Flex Spending & Health Savings Options, Prescription Drug plan, 401(K) Savings Plan and Company match. LSEG’s Benefits plan also includes basic life insurance, disability benefits, emergency backup dependent care, adoption assistance commuter assistance etc.

LSEG is a leading global financial markets infrastructure and data provider. Our purpose is driving financial stability, empowering economies and enabling customers to create sustainable growth.

Our purpose is the foundation on which our culture is built. Our values of Integrity, Partnership, Excellence and Change underpin our purpose and set the standard for everything we do, every day. They go to the heart of who we are and guide our decision making and everyday actions.

Working with us means that you will be part of a dynamic organisation of 25,000 people across 65 countries. However, we will value your individuality and enable you to bring your true self to work so you can help enrich our diverse workforce. You will be part of a collaborative and creative culture where we encourage new ideas and are committed to sustainability across our global business. You will experience the critical role we have in helping to re-engineer the financial ecosystem to support and drive sustainable economic growth. Together, we are aiming to achieve this growth by accelerating the just transition to net zero, enabling growth of the green economy and creating inclusive economic opportunity.

LSEG offers a range of tailored benefits and support, including healthcare, retirement planning, paid volunteering days and wellbeing initiatives.

We are proud to be an equal opportunities employer. This means that we do not discriminate on the basis of anyone’s race, religion, colour, national origin, gender, sexual orientation, gender identity, gender expression, age, marital status, veteran status, pregnancy or disability, or any other basis protected under applicable law. Conforming with applicable law, we can reasonably accommodate applicants' and employees' religious practices and beliefs, as well as mental health or physical disability needs.

Please take a moment to read this privacy notice carefully, as it describes what personal information London Stock Exchange Group (LSEG) (we) may hold about you, what it’s used for, and how it’s obtained, your rights and how to contact us as a data subject.

If you are submitting as a Recruitment Agency Partner, it is essential and your responsibility to ensure that candidates applying to LSEG are aware of this privacy notice.",138800
"Amazing Senior Tax Associate opportunity at a growing private equity firm based in NYC. This role will include, but will not be limited to, partnership tax compliance. Client DetailsMy client is a global private equity firm based in NYC. They are a smaller and collaborative tax team with an excellent culture. DescriptionKey Responsibilities:Partnership tax compliance Tax planningSpecial projectsTax accounting Liaison with other departmentsProfile2-4 years of experience within the space (partnership tax)Bachelor's or Master's in Accounting requiredCPA strongly preferredStrong and effective communicatorJob OfferCompetitive Base Salary / BonusHealth/Vision/Dental insuranceGenerous PTO and paid holidaysExcellent Benefits401kHybrid Flexibility - 1-2 days in office, very flexible 
MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.",130000
"Medline Industries, Inc. has an immediate opening for an experienced Urology Sales Representative for the New York area. The position requires the ability to assimilate and deliver a high level of technical information as it relates to urology and CAUTI Prevention. Only candidates with experience in one or more of these areas will be considered. Healthcare personnel called on include but not limited to: chief nursing officer, infection preventionist, director of nursing, clinical coordinators, ICU unit directors & managers, risk managers, Materials Managers and OR personnel.

We are seeking a dynamic, hard-working professional with a background in the healthcare industry and a desire to work for a fast-paced, large corporate organization.

Responsibilities include but are not limited to:

Creating and conducting sales presentations on Urology product line to multiple decision makers which include Infection Prevention, C-Suite and various nursing personnel;Ability to present multiple product and Prevention Solutions;Calling on healthcare facilities within assigned territory to expand the sales of the products;Leading all customer product evaluations and implementations;Assisting Medline sales reps with questions via email, phone calls or in person;Following up with the customers and sales reps when evaluations/implementations are completed;Participating with division on overall product strategy, competitive analyses, research and development requirements as well as other duties as assigned;Maintaining existing business and presenting new products to grow business


Education

Bachelor’s degree and at least 2 years of quota-based sales experience demonstrating a background in cold calling, commission, full-cycle sales experience OR at least 5 years of quota-based sales experience demonstrating a background in cold calling, commissioned, full-cycle sales experience.


Relevant Work Experience

2+ years related sales experience within the medical supplies industry;Position will require up to 50% travel within assigned territory;Strong presentation skills and effectively communicate to a sales organization and customers;MS Office (Word and Excel) required;Excellent organizational, planning, communication and follow up skills required;Must live within assigned territoryDue to the nature of an outside sales representative position, the ability to drive a car, travel in that car 90% of each day, and interact with healthcare providers on site is required.


Why Medline?

53+ years of consecutive growth550,000+ products and countingMore than 20,000 employees spanning the globeNo.1 privately held manufacturer & distributor of health care products in the U.S. 1,600 and growing sales representatives across the continuum of careMedical, Dental, Vision & Rx plan401k with company match


Why Medline Sales? 

Lucrative Incentive Driven Earnings Potential Proven Training Infrastructure Entrepreneurial Work Environment Company Credit Card, Cell Phone, and Laptop Flexible Paid Time Off 


The anticipated compensation for this position includes a base salary of $75,000 with additional commission ranging between 4-15% net sales growth. This role is bonus eligible. Medline will not pay less than the applicable minimum wage or salary threshold.

Primary Location

US-NY-New York City",
"onsite 5 days and the schedule is 4pm –11PM.ResponsibilitiesCollaborate with colleagues to support meetings and multi-media activitiesSet up conference room technology for scheduled and ad hoc audio and video meetingsAssist meeting participants in using the Firm’s internal collaboration tools, such Zoom, MS Teams, Cisco Webex, Barco Clickshare and alikeHelp perform system quality checks to promptly correct audio visual (AV) issues prior to meetings and Firm eventsHelp troubleshoot, repair or escalate issues related to our integrated AV systemsSupport Firm events by setting up, supporting and/or removing AV equipmentMonitor the call queue from our internal ticketing system (Service Now) and record, track, and close service incidents promptlyTake ownership of technical problems and be proactive in resolving the issueAssist the team with IT equipment moves to support internal office relocationsWork closely with team colleagues to keep them informed of technical issues, follow-ups, escalations and resolutionsSalary Range: $65,000 to $82,000 (Based on experience)Qualifications1+ year in a similar roleHigh School diploma required; a Bachelor's degree in related field preferredHave knowledge of VOIP system, Cisco Call managerDiagnosing and resolving end-user issuesTeam player who is ambitious and motivatedExcellent interpersonal skills and patience working with othersMust be able to multitask and work in a fast-paced environmentMust have exceptional skills in the following: communications, customer service, problem-solving/troubleshooting, follow-up and organizationStrives to exceed the expectations and needs of internal and external clientsMakes personal contact, follow ups and closes loops in a timely mannerAbility to work in a team and solo environmentExcellent verbal and written skillsCapable of grasping new concepts without prior experienceAbility to lift 50Lbs or move equipment, if needed",82000
